Date,Close/Last,Volume,Open,High,Low
01/16/2025,$57.58,1382597,$56.94,$57.64,$56.63
01/15/2025,$56.90,2724370,$57.22,$57.58,$56.79
01/14/2025,$55.39,1799655,$54.94,$55.88,$54.92
01/13/2025,$54.94,5145478,$54.22,$55.21,$53.80
01/10/2025,$54.91,4138260,$57.93,$58.06,$54.89
01/08/2025,$58.38,2612775,$56.90,$58.47,$56.56
01/07/2025,$57.03,3189407,$57.70,$58.495,$56.58
01/06/2025,$57.44,2750934,$58.70,$58.77,$56.99
01/03/2025,$57.80,1273986,$58.08,$58.215,$57.27
01/02/2025,$57.55,2908045,$57.59,$57.91,$56.82
12/31/2024,$57.45,1549206,$57.60,$57.79,$57.20
12/30/2024,$57.35,1791249,$56.55,$57.6571,$56.15
12/27/2024,$57.19,1017634,$57.31,$57.76,$56.63
12/26/2024,$57.86,582144,$57.09,$57.94,$57.09
12/24/2024,$57.49,661672,$57.38,$57.54,$56.75
12/23/2024,$57.06,1569155,$56.10,$57.07,$55.89
12/20/2024,$56.09,2873097,$55.35,$57.09,$54.87
12/19/2024,$55.49,3119569,$56.12,$56.41,$55.3138
12/18/2024,$55.46,3533436,$59.18,$59.70,$55.205
12/17/2024,$59.01,2526019,$58.80,$59.11,$58.30
12/16/2024,$59.15,1343993,$58.42,$59.29,$58.40
12/13/2024,$58.68,2037045,$59.54,$59.655,$58.625
12/12/2024,$59.25,2171408,$60.02,$60.075,$58.99
12/11/2024,$60.05,1366367,$59.75,$60.53,$59.42
12/10/2024,$59.15,2107064,$58.95,$59.65,$58.40
12/09/2024,$59.15,1947885,$60.25,$60.79,$59.01
12/06/2024,$59.81,1984123,$60.27,$60.52,$59.53
12/05/2024,$60.03,3132328,$60.77,$61.08,$59.97
12/04/2024,$60.70,1675046,$61.00,$61.36,$60.25
12/03/2024,$61.02,1565870,$61.87,$62.44,$60.78
12/02/2024,$61.51,1829053,$61.20,$62.12,$60.80
11/29/2024,$61.39,1272166,$61.17,$61.77,$61.00
11/27/2024,$61.37,2913087,$60.10,$61.63,$60.10
11/26/2024,$60.08,2054353,$59.32,$60.23,$59.05
11/25/2024,$59.70,3583912,$59.07,$59.99,$58.77
11/22/2024,$58.27,2690378,$57.60,$58.99,$57.2663
11/21/2024,$57.53,1522222,$56.65,$57.78,$56.10
11/20/2024,$56.38,1775671,$56.73,$56.8391,$56.00
11/19/2024,$56.78,1278977,$55.55,$56.94,$55.41
11/18/2024,$56.11,2171822,$56.82,$56.89,$56.045
11/15/2024,$56.79,2406514,$58.10,$58.1799,$56.57
11/14/2024,$57.80,1866836,$58.62,$60.20,$57.60
11/13/2024,$57.61,1260457,$57.95,$58.425,$57.45
11/12/2024,$57.91,1283249,$58.42,$58.85,$57.52
11/11/2024,$58.77,1559622,$57.53,$59.23,$57.53
11/08/2024,$57.09,1020476,$57.52,$57.52,$57.01
11/07/2024,$57.52,1224304,$57.17,$57.78,$56.98
11/06/2024,$56.98,3067430,$57.11,$57.42,$56.00
11/05/2024,$55.75,1968517,$54.00,$55.80,$53.90
11/04/2024,$53.86,1884398,$53.14,$54.51,$53.11
11/01/2024,$53.14,1174246,$53.55,$54.03,$53.12
10/31/2024,$53.00,2360141,$53.87,$53.87,$52.62
10/30/2024,$54.04,1201168,$53.31,$54.52,$53.31
10/29/2024,$53.65,1579476,$54.38,$54.50,$53.37
10/28/2024,$54.68,1556463,$54.13,$54.74,$53.91
10/25/2024,$53.50,1100795,$54.34,$54.62,$53.22
10/24/2024,$54.28,1126454,$54.50,$54.93,$54.17
10/23/2024,$54.05,1214458,$54.28,$54.62,$53.55
10/22/2024,$54.32,1574646,$55.03,$55.25,$54.155
10/21/2024,$55.39,1582390,$56.27,$56.825,$55.28
10/18/2024,$56.39,1767375,$55.51,$56.68,$55.265
10/17/2024,$55.33,1090941,$54.75,$55.48,$54.75
10/16/2024,$54.71,1657252,$53.80,$54.99,$53.715
10/15/2024,$53.48,1259162,$53.67,$54.09,$53.34
10/14/2024,$53.87,836988,$53.89,$54.19,$53.64
10/11/2024,$53.56,1258543,$53.20,$54.43,$53.20
10/10/2024,$53.03,1201565,$52.52,$53.23,$52.38
10/09/2024,$52.90,1229515,$52.11,$53.06,$52.10
10/08/2024,$52.40,1193797,$52.43,$52.95,$52.08
10/07/2024,$52.55,919917,$53.09,$53.09,$52.20
10/04/2024,$53.10,855131,$53.09,$53.62,$52.66
10/03/2024,$52.59,1420564,$52.58,$52.955,$52.26
10/02/2024,$52.95,1330399,$53.03,$53.33,$52.62
10/01/2024,$53.08,1894560,$53.04,$53.43,$52.62
09/30/2024,$53.15,1383895,$53.10,$53.41,$52.65
09/27/2024,$53.39,1973664,$53.51,$53.90,$53.2549
09/26/2024,$53.42,3975467,$52.57,$54.29,$52.40
09/25/2024,$52.27,1402708,$52.93,$52.955,$52.10
09/24/2024,$52.80,1683847,$52.90,$53.20,$52.71
09/23/2024,$52.54,1769621,$52.35,$52.71,$52.18
09/20/2024,$52.18,2113651,$51.98,$52.48,$51.715
09/19/2024,$52.20,2193741,$50.99,$52.30,$50.54
09/18/2024,$49.95,1959463,$50.19,$51.03,$49.77
09/17/2024,$50.32,1480812,$50.70,$50.81,$50.05
09/16/2024,$50.41,1593478,$49.73,$50.46,$49.57
09/13/2024,$49.37,1238614,$49.38,$49.78,$49.18
09/12/2024,$48.96,1771195,$48.00,$48.99,$47.98
09/11/2024,$48.09,7025210,$47.04,$48.14,$46.32
09/10/2024,$47.24,1676945,$47.40,$47.40,$46.20
09/09/2024,$47.17,1828099,$46.57,$47.68,$46.36
09/06/2024,$46.13,2916731,$47.34,$47.69,$45.98
09/05/2024,$47.16,2140045,$47.80,$48.20,$47.06
09/04/2024,$47.50,6856567,$47.69,$48.55,$47.49
09/03/2024,$47.92,2583880,$49.91,$50.01,$47.575
08/30/2024,$50.28,1474317,$49.73,$50.46,$49.51
08/29/2024,$49.69,1015893,$49.67,$50.335,$49.42
08/28/2024,$49.47,1357525,$49.71,$50.11,$49.26
08/27/2024,$49.80,1553777,$49.22,$50.17,$49.12
08/26/2024,$49.38,5807780,$49.31,$49.66,$49.25
08/23/2024,$49.11,1785032,$47.45,$49.205,$47.36
08/22/2024,$47.11,2046972,$47.19,$47.44,$46.90
08/21/2024,$47.05,913864,$46.67,$47.075,$46.48
08/20/2024,$46.69,890465,$47.00,$47.36,$46.56
08/19/2024,$46.95,1042133,$46.62,$47.20,$46.57
08/16/2024,$46.57,1144488,$46.72,$46.72,$46.16
08/15/2024,$46.50,1595675,$46.94,$47.175,$46.395
08/14/2024,$46.32,1950746,$45.71,$46.38,$45.47
08/13/2024,$45.53,2152376,$44.60,$45.635,$44.19
08/12/2024,$44.16,1100918,$45.01,$45.225,$44.085
08/09/2024,$44.92,1905807,$44.65,$45.04,$44.33
08/08/2024,$44.44,2206685,$42.93,$44.58,$42.39
08/07/2024,$42.91,3688400,$45.49,$45.54,$42.85
08/06/2024,$44.67,4563365,$43.86,$44.90,$43.445
08/05/2024,$43.77,2369571,$42.52,$44.54,$42.21
08/02/2024,$45.36,2942713,$46.64,$46.88,$45.16
08/01/2024,$47.58,2898218,$48.67,$48.83,$47.20
07/31/2024,$48.75,1865973,$48.16,$49.44,$47.86
07/30/2024,$47.85,13775330,$47.63,$48.18,$47.50
07/29/2024,$47.52,2418633,$47.33,$47.62,$46.87
07/26/2024,$47.26,16783380,$46.85,$47.43,$46.59
07/25/2024,$46.32,5199767,$45.71,$46.97,$45.42
07/24/2024,$45.85,2834598,$46.56,$46.92,$45.765
07/23/2024,$47.05,5758392,$46.88,$47.57,$46.34
07/22/2024,$46.89,1115722,$46.50,$46.975,$46.21
07/19/2024,$46.06,1026301,$46.03,$46.465,$45.78
07/18/2024,$46.19,2870052,$46.51,$47.08,$45.87
07/17/2024,$46.72,3012484,$46.75,$47.08,$46.44
07/16/2024,$47.41,3544234,$46.03,$47.43,$46.03
07/15/2024,$46.09,1922320,$46.10,$46.285,$45.735
07/12/2024,$46.01,3535538,$45.00,$46.139,$45.00
07/11/2024,$44.96,2880032,$44.59,$44.985,$44.41
07/10/2024,$44.09,1450807,$43.10,$44.13,$43.02
07/09/2024,$42.99,1124982,$42.63,$43.10,$42.42
07/08/2024,$42.72,1541486,$42.73,$42.905,$42.32
07/05/2024,$42.54,1282813,$43.21,$43.33,$42.50
07/03/2024,$43.05,1037145,$42.37,$43.10,$42.34
07/02/2024,$42.06,1865608,$40.98,$42.16,$40.82
07/01/2024,$40.93,1019558,$41.69,$41.95,$40.90
06/28/2024,$41.54,1549328,$41.82,$42.08,$41.28
06/27/2024,$41.56,10662840,$40.89,$41.82,$40.745
06/26/2024,$40.85,16594030,$40.99,$41.12,$40.61
06/25/2024,$41.34,5316469,$41.60,$41.60,$40.59
06/24/2024,$41.41,15816740,$40.68,$41.55,$40.65
06/21/2024,$40.57,13297650,$40.75,$40.75,$40.04
06/20/2024,$40.81,2584809,$40.37,$41.01,$40.22
06/18/2024,$41.35,3729648,$41.10,$41.38,$40.895
06/17/2024,$41.06,2156066,$40.90,$41.11,$40.47
06/14/2024,$40.95,5957951,$40.51,$40.97,$39.97
06/13/2024,$41.01,2527066,$41.66,$41.67,$40.84
06/12/2024,$41.91,1863461,$42.39,$42.56,$41.67
06/11/2024,$41.12,2632184,$41.50,$41.50,$40.84
06/10/2024,$41.64,9555819,$41.17,$41.73,$41.0519
06/07/2024,$41.52,1906101,$41.83,$41.87,$41.35
06/06/2024,$42.31,2543383,$43.07,$43.15,$42.185
06/05/2024,$43.11,1594293,$43.02,$43.18,$42.60
06/04/2024,$42.60,1470757,$43.33,$43.655,$42.4194
06/03/2024,$43.69,2900429,$43.70,$43.74,$43.125
05/31/2024,$43.49,3208649,$42.87,$43.51,$42.625
05/30/2024,$42.66,2361430,$42.19,$42.9483,$42.05
05/29/2024,$42.00,1670962,$42.98,$43.00,$41.95
05/28/2024,$43.55,1629312,$44.95,$44.95,$43.44
05/24/2024,$44.78,1302115,$44.36,$44.8825,$44.27
05/23/2024,$44.20,1765061,$44.63,$44.85,$43.84
05/22/2024,$44.35,1990698,$44.12,$44.68,$44.12
05/21/2024,$44.58,2176943,$44.70,$44.995,$44.33
05/20/2024,$44.81,1966364,$44.60,$44.93,$44.4505
05/17/2024,$44.81,2468625,$44.60,$44.93,$44.4505
05/16/2024,$44.64,1723962,$44.72,$44.91,$44.50
05/15/2024,$44.85,2099915,$45.00,$45.11,$44.575
05/14/2024,$44.65,2343526,$44.10,$44.685,$44.05
05/13/2024,$44.00,3427943,$44.47,$44.47,$43.77
05/10/2024,$44.23,4213500,$44.28,$44.50,$43.86
05/09/2024,$44.25,3293998,$43.76,$44.25,$43.29
05/08/2024,$43.99,5638573,$43.38,$44.09,$42.95
05/07/2024,$43.73,3319306,$43.80,$43.99,$43.64
05/06/2024,$43.68,1910305,$42.85,$43.72,$42.72
05/03/2024,$42.63,3873439,$42.45,$42.92,$42.17
05/02/2024,$41.65,7418349,$41.44,$41.68,$40.7784
05/01/2024,$40.97,3632651,$40.12,$41.455,$39.78
04/30/2024,$40.12,3020329,$40.60,$40.8911,$40.11
04/29/2024,$41.04,3285315,$41.04,$41.28,$40.62
04/26/2024,$40.96,3230696,$40.37,$40.98,$40.23
04/25/2024,$40.23,2396764,$39.93,$40.36,$39.27
04/24/2024,$40.53,2413801,$40.28,$40.615,$39.86
04/23/2024,$40.37,2126065,$39.75,$40.50,$39.48
04/22/2024,$39.61,1507237,$39.21,$39.76,$38.89
04/19/2024,$38.99,2106077,$38.64,$39.06,$38.505
04/18/2024,$38.58,2746683,$39.16,$39.16,$38.32
04/17/2024,$39.01,3984831,$39.00,$39.245,$38.645
04/16/2024,$38.72,4462791,$38.50,$38.915,$38.18
04/15/2024,$38.99,4947573,$39.56,$39.94,$38.65
04/12/2024,$39.30,3805399,$39.21,$39.65,$39.04
